avaliacao_id;categoria;created_at;id;obrigatoria;opcoes;ordem;pergunta;peso;tipo
324bc331-470a-4c95-97de-fab68536b2bd;Exigências Quantitativas;2026-05-08 19:45:15.50251+00;7c01501a-fca3-4fdc-ad74-5793bee50c48;true;[];0;A sua carga de trabalho acumula-se por ser mal distribuída?;5;escala
a55846f2-9c09-4e41-8213-cf706ea751ca;Clima Organizacional;2025-11-03 14:25:34.287503+00;02917a09-f574-48fb-8f08-42d1ceebea42;true;;0;Teste;6;escala
0e88490a-e00b-4248-8f98-42ac13236740;MACACO ARANHA;2025-11-10 12:30:05.368067+00;4fe27a49-dcd9-4f7d-af80-578dd910f07e;true;;0;TESTE;5;escala
2b3559eb-5a09-4680-b220-4e0879b8f689;Geral;2025-10-20 00:21:02.839625+00;8e8cc072-bde6-4514-bc8b-556e19286ff3;true;"[""Sim"",""Não"",""Só de pessoas com quem falo pouco"",""As vezes esqueço o nome do meu conjugê até""]";0;Você sente dificuldade em lembrar o nome das pessoas, mesmo que já as conheça a algum tempo?;5;multipla_escolha
2b3559eb-5a09-4680-b220-4e0879b8f689;Geral;2025-10-20 00:21:02.839625+00;8cdf6cf1-9536-418b-8499-340b7fbc421f;true;"[""Opção 1"",""Opção 2""]";1;O quão boa você considera sua memória?;5;escala
2b3559eb-5a09-4680-b220-4e0879b8f689;Geral;2025-10-20 00:21:02.839625+00;323eb692-ee9f-44c3-a5db-dc08ea65113a;true;"[""Opção 1"",""Opção 2""]";2;Você as vezes esquece o que está fazendo no meio da tarefa, quando ela se prolonga demais?;5;sim_nao
5a8149a7-d94d-4a22-941a-f44dd882ec48;Geral;2025-10-20 00:32:14.597378+00;ac8d9629-f943-4c9c-83ed-1daaf097669f;true;"[""Opção 1"",""Opção 2""]";0;Você já pegou no sono enquanto realizava uma atividade?;5;sim_nao
0e88490a-e00b-4248-8f98-42ac13236740;Desempenho;2025-11-10 12:30:05.368067+00;3dde3131-70cf-425d-bf9d-6ae6bc8e6a62;true;"[""1"",""2"",""3"",""4""]";1;TESTE;5;multipla_escolha
0e88490a-e00b-4248-8f98-42ac13236740;Desenvolvimento;2025-11-10 12:30:05.368067+00;fa97ec40-b450-498f-99f9-9dd9671a6925;false;;2;TESTE;5;sim_nao
0e88490a-e00b-4248-8f98-42ac13236740;Liderança;2025-11-10 12:30:05.368067+00;378e8cae-3596-4407-81cb-263e142db01f;true;;3;TESTE;5;escala
0e88490a-e00b-4248-8f98-42ac13236740;Clima Organizacional;2025-11-10 12:30:05.368067+00;53bb5742-8836-4c91-bec5-6a1680fe4298;true;;4;TESTE;5;sim_nao
0e88490a-e00b-4248-8f98-42ac13236740;Competências;2025-11-10 12:30:05.368067+00;ab4080f7-3dec-4029-a664-4152f8ab7737;true;"[""1"",""2"",""3"",""4"",""5"",""6""]";5;TESTE;5;multipla_escolha
0e88490a-e00b-4248-8f98-42ac13236740;Geral;2025-11-10 12:30:05.368067+00;c5411c72-3dc1-4e31-8801-5ac819dcc58c;true;[];6;texto livre;5;texto_livre
7a357896-aa45-4543-98d0-b9850bb617c3;Clima Organizacional;2025-12-01 14:10:09.234159+00;d41788b6-ad15-47b2-92fd-9318d8f0ebd3;true;;0;Você se estressa no trabalho frequentemente?;5;sim_nao
7a357896-aa45-4543-98d0-b9850bb617c3;Clima Organizacional;2025-12-01 14:10:09.234159+00;fcb9020a-201b-4e07-9672-3c9251a9bffa;true;;1;Você se sente exausto durante a semana com frequÇencia?;5;sim_nao
b10ada2e-7ce5-4d48-b487-81ced8961874;Geral;2025-10-20 05:26:54.664548+00;28c76f00-3abe-4e70-b03e-afb1a9a3ac81;true;"[""Opção 1"",""Opção 2""]";0;Múltipla Escolha;5;multipla_escolha
b10ada2e-7ce5-4d48-b487-81ced8961874;Geral;2025-10-20 05:26:54.664548+00;e925a22e-b6b7-4313-905e-06cea1ae9f63;true;"[""Opção 1"",""Opção 2""]";1;Escala 1-10;5;escala
b10ada2e-7ce5-4d48-b487-81ced8961874;Geral;2025-10-20 05:26:54.664548+00;8624881b-0b49-45dc-8b85-986eaf64559a;true;"[""Opção 1"",""Opção 2""]";2;Sim/Não;5;sim_nao
b10ada2e-7ce5-4d48-b487-81ced8961874;Geral;2025-10-20 05:26:54.664548+00;169fd922-9936-4369-be6e-ebaa9741ade0;false;"[""Opção 1"",""Opção 2""]";3;Texto Livre;5;texto_livre
c423d977-0360-4fda-b44d-ba4d544bbce7;Saúde Mental;2025-12-01 18:34:09.27771+00;3553b2f1-161f-4e1b-a14c-1ba3e1282f19;true;;0;Você já teve Burnout;5;sim_nao
c423d977-0360-4fda-b44d-ba4d544bbce7;Saúde Mental;2025-12-01 18:34:09.27771+00;bdc960ea-2362-4cc1-a5ed-9c8f0f7af782;true;;1;Você se estressa ou se aborrece com frequência no trabalho?;5;sim_nao
c423d977-0360-4fda-b44d-ba4d544bbce7;Carga de Trabalho;2025-12-01 18:34:09.27771+00;a7409ba1-d254-46b8-988a-3b955dd2d85e;true;;2;Você se sente sobrecarregado?;5;sim_nao
0008baf1-ddc4-453d-b4ff-d37e1418ffe5;Transparência do Papel Laboral;2026-03-01 18:14:51.518913+00;22f0370a-d84f-4fbb-ad89-f2bdde664148;true;[];18;O seu trabalho apresenta objectivos claros?;1;escala
42a5567a-7556-45be-a898-1fb80a87d1ad;Geral;2025-10-20 07:17:48.627011+00;9f0b7535-46a2-42d8-ab5b-916e369506c1;true;"[""Opção 1"",""Opção 2""]";0;Múltipla Escolha;5;multipla_escolha
42a5567a-7556-45be-a898-1fb80a87d1ad;Geral;2025-10-20 07:17:48.627011+00;f86c1d50-d94d-4fbb-8737-590faf465d18;true;"[""Opção 1"",""Opção 2""]";1;Escala 1-10;5;escala
42a5567a-7556-45be-a898-1fb80a87d1ad;Geral;2025-10-20 07:17:48.627011+00;72c2661e-93da-4026-bbc0-0dfcc1503eda;true;"[""Opção 1"",""Opção 2""]";2;Sim/Não;5;sim_nao
42a5567a-7556-45be-a898-1fb80a87d1ad;Geral;2025-10-20 07:17:48.627011+00;135525c6-2c0c-45eb-97d4-ee371e6be954;false;"[""Opção 1"",""Opção 2""]";3;Texto Livre;5;texto_livre
b0c54aba-8948-4984-bd30-3fe3a6d35f54;Carga de Trabalho;2025-10-26 23:28:32.078211+00;5983e38f-739c-4833-ac79-d16c17e1376d;true;;0;sad;5;escala
0008baf1-ddc4-453d-b4ff-d37e1418ffe5;Transparência do Papel Laboral;2026-03-01 18:14:51.518913+00;e6d49965-6cba-482f-aed6-b66d4a99aa08;true;[];19;Sabe exactamente quais as suas responsabilidades?;1;escala
0008baf1-ddc4-453d-b4ff-d37e1418ffe5;Transparência do Papel Laboral;2026-03-01 18:14:51.518913+00;68e8cd95-fd5a-4297-9fb6-89e5ac550414;true;[];20;Sabe exactamente o que é esperado de si?;1;escala
0008baf1-ddc4-453d-b4ff-d37e1418ffe5;Recompensas / Reconhecimento;2026-03-01 18:14:51.518913+00;50aa14c1-68da-4183-985c-6e69ef12b546;true;[];21;O seu trabalho é reconhecido e apreciado pela gerência?;1;escala
0008baf1-ddc4-453d-b4ff-d37e1418ffe5;Recompensas / Reconhecimento;2026-03-01 18:14:51.518913+00;8d705945-f18a-4a26-aec4-6d6393d63232;true;[];22;A gerência do seu local de trabalho respeita-o?;1;escala
0008baf1-ddc4-453d-b4ff-d37e1418ffe5;Recompensas / Reconhecimento;2026-03-01 18:14:51.518913+00;93c35f6d-2537-41e8-ac98-c2819bfa16a3;true;[];23;É tratado de forma justa no seu local de trabalho?;1;escala
0008baf1-ddc4-453d-b4ff-d37e1418ffe5;Conflitos de Papéis Laborais;2026-03-01 18:14:51.518913+00;338a1c78-1848-4363-945c-477ed7975fd6;true;[];24;Faz coisas no seu trabalho que uns concordam mas outros não?;1;escala
0008baf1-ddc4-453d-b4ff-d37e1418ffe5;Conflitos de Papéis Laborais;2026-03-01 18:14:51.518913+00;aa1b2fbc-8fb2-4f76-b0cd-837b65113274;true;[];25;Por vezes tem que fazer coisas que deveriam ser feitas de outra maneira?;1;escala
