ativo;consultora_id;cor;created_at;icone;id;nome;ordem;tipo;updated_at
true;;#9b87f5;2025-10-30 13:58:05.289435+00;Users;afe1e6e1-f93f-4360-975b-37c55979b9ac;Clima Organizacional;1;questionario;2025-10-30 14:07:20.295487+00
true;;#7E69AB;2025-10-30 13:58:05.289435+00;Crown;e9a72ed6-4074-45ed-8282-e2f956a70925;Liderança;2;questionario;2025-10-30 14:07:20.295487+00
true;;#22c55e;2025-10-30 13:58:05.289435+00;Smile;f4b5bb04-bd16-4d07-ab38-f84a152ff64a;Satisfação;3;questionario;2025-10-30 14:07:20.295487+00
true;;#f97316;2025-10-30 13:58:05.289435+00;Zap;0b7ac0bf-e8f8-4170-82a1-f7026c4d0e23;Engajamento;4;questionario;2025-10-30 14:07:20.295487+00
true;;#3b82f6;2025-10-30 13:58:05.289435+00;TrendingUp;12cd2aae-de05-4a10-afa7-52bd99099287;Desempenho;5;questionario;2025-10-30 14:07:20.295487+00
true;;#ec4899;2025-10-30 13:58:05.289435+00;GraduationCap;20a02fc3-1c72-4c16-9de1-7180336df0c1;Desenvolvimento;6;questionario;2025-10-30 14:07:20.295487+00
true;;#8b5cf6;2025-10-30 13:58:05.289435+00;FileText;9ac5a89d-263b-4304-b317-d3dcb7322f13;Inscrição;7;questionario;2025-10-30 14:07:20.295487+00
true;;#9b87f5;2025-10-30 13:58:05.289435+00;Users;bc89d2b9-7ebd-4014-b925-77a394f2c48b;Clima Organizacional;1;avaliacao;2025-10-30 14:07:20.295487+00
true;;#7E69AB;2025-10-30 13:58:05.289435+00;Crown;20d1b1d0-b16f-489e-af07-519db697edd2;Liderança;2;avaliacao;2025-10-30 14:07:20.295487+00
true;;#ec4899;2025-10-30 13:58:05.289435+00;GraduationCap;ce77b865-88ae-4a65-93df-ccb7b4838cd6;Desenvolvimento;3;avaliacao;2025-10-30 14:07:20.295487+00
