anexos;categoria;cliente_id;consultora_id;created_at;custo_estimado;data_fim;data_inicio;descricao;duracao_estimada;id;participantes;prioridade;progresso;responsavel;resultados_esperados;resultados_obtidos;status;titulo;updated_at
[];Desenvolvimento;43b10370-ef92-4451-b394-b2e7db44457e;cad3eb84-a3ad-4f90-a9c4-c7f9ffdf87af;2025-11-05 21:24:15.621164+00;;;;Criar programa de mentoria interna para desenvolvimento de talentos;90;06c33497-37d7-4e72-ae4a-7bc48fca7f24;;media;0;;Criar programa de mentoria interna para desenvolvimento de talentos;;planejada;Programa de Mentoria;2025-11-05 22:20:26.520217+00
"[{""data_upload"":""2025-11-10T12:56:36.452Z"",""id"":""1762779393495-lx7nwf.png"",""nome"":""M3 (49).png"",""tamanho"":6020215,""tipo"":""image/png"",""uploaded_by"":""b990df2a-604e-41cd-a3b4-31844fc4035e"",""url"":""https://zxcthpshrjsvuiihocvz.supabase.co/storage/v1/object/public/intervencoes-anexos/b990df2a-604e-41cd-a3b4-31844fc4035e/temp/1762779393495-lx7nwf.png""}]";Treinamento;811be139-9037-46b0-bddd-a62055f37438;b990df2a-604e-41cd-a3b4-31844fc4035e;2025-11-10 12:56:41.414108+00;;2026-02-02;2025-11-10;teste;30;922291e2-3883-4032-8b07-86ad809ad321;"[""joão"",""maria"",""pedro"",""benjamin""]";media;0;Junior Junior;teste;;planejada;teste;2025-11-10 12:56:41.414108+00
"[{""data_upload"":""2025-11-10T15:50:11.835Z"",""id"":""1762789810729-9qgm7j.jpeg"",""nome"":""mhsdu0npmn4byx.jpeg"",""tamanho"":227457,""tipo"":""image/jpeg"",""uploaded_by"":""b990df2a-604e-41cd-a3b4-31844fc4035e"",""url"":""https://zxcthpshrjsvuiihocvz.supabase.co/storage/v1/object/public/intervencoes-anexos/b990df2a-604e-41cd-a3b4-31844fc4035e/temp/1762789810729-9qgm7j.jpeg""}]";Coaching;811be139-9037-46b0-bddd-a62055f37438;b990df2a-604e-41cd-a3b4-31844fc4035e;2025-11-10 15:50:15.076057+00;;2026-02-02;2025-10-02;Incentivar os funcionários e ajuda-los a ver a situação por outra ótica;30;76a83d92-6e07-458c-b5f3-6728df9d6539;"[""João"",""Maria"",""Pedro"",""Benjamin"",""Carlos"",""Juana"",""Jackeline""]";media;0;maria celeste;Maior clima de felicidade e descontração saudavel no ambiente de trabalho.;;planejada;Ação de Melhora de Clima;2025-11-10 15:50:15.076057+00
[];Ambiente;;9f4a0435-873d-4310-9c12-5c48eadbc7e3;2026-01-31 02:26:31.897442+00;;;;Melhorar o ambiente físico de trabalho para aumentar produtividade;30;6a1d1320-68d2-4fe4-872e-038eb9ce0e1c;;media;0;;Melhorar o ambiente físico de trabalho para aumentar produtividade;;planejada;Redesign do Espaço de Trabalho;2026-01-31 02:26:31.897442+00
[];Clima Organizacional;;9f4a0435-873d-4310-9c12-5c48eadbc7e3;2026-01-31 02:26:32.518667+00;;;;Realizar pesquisa de clima organizacional a cada 3 meses;7;71b2064b-b093-4d59-9335-1bd524288dc3;;media;0;;Realizar pesquisa de clima organizacional a cada 3 meses;;planejada;Pesquisa de Clima Trimestral;2026-01-31 02:26:32.518667+00
[];Treinamento;3d61025b-9ba4-471b-9c89-90739656eec7;930c44b5-3b73-4770-a9af-ac72471c65cc;2025-12-01 17:57:06.78455+00;;2025-12-12;2025-12-02;Treinamento Comunicação assertiva;8;77b8a774-a4fb-4ecb-8241-dc8e6ac22dfa;"[""João"",""Maria e Pedro""]";media;0;Renan;Melhorar a Comunicação assertiva;;planejada;Treinamento Comunicação assertiva;2025-12-01 17:57:06.78455+00
[];Treinamento;3d61025b-9ba4-471b-9c89-90739656eec7;930c44b5-3b73-4770-a9af-ac72471c65cc;2025-12-01 17:57:57.396925+00;;2025-12-12;2025-12-02;Treinamento Comunicação assertiva;8;959cefb0-1a4a-4669-807f-530723cdcb1a;"[""João"",""Maria"",""Pedro""]";media;0;Renan;Melhorar a Comunicação assertiva;;planejada;Treinamento Comunicação assertiva;2025-12-01 17:58:17.240715+00
[];Comunicação;;9f4a0435-873d-4310-9c12-5c48eadbc7e3;2026-01-31 02:26:27.935559+00;;;;Workshop focado em melhorar a comunicação entre equipes e departamentos;1;c46a32c3-6345-4b03-8159-eeeec608a071;;media;0;;Workshop focado em melhorar a comunicação entre equipes e departamentos;;planejada;Workshop de Comunicação;2026-01-31 02:26:27.935559+00
[];Engajamento;;9f4a0435-873d-4310-9c12-5c48eadbc7e3;2026-01-31 02:26:28.829213+00;;;;Implementar sistema de reconhecimento e recompensa para colaboradores;30;282c1ccb-3cdc-4466-8f99-a89bcdba0359;;media;0;;Implementar sistema de reconhecimento e recompensa para colaboradores;;planejada;Programa de Reconhecimento;2026-01-31 02:26:28.829213+00
[];Liderança;;9f4a0435-873d-4310-9c12-5c48eadbc7e3;2026-01-31 02:26:30.581934+00;;;;Estabelecer rotina de reuniões individuais entre líderes e liderados;60;695cf1fa-35e2-4bd4-9792-68500a2fa550;;media;0;;Estabelecer rotina de reuniões individuais entre líderes e liderados;;planejada;Reuniões 1:1 Estruturadas;2026-01-31 02:26:30.581934+00
[];Desenvolvimento;;9f4a0435-873d-4310-9c12-5c48eadbc7e3;2026-01-31 02:26:31.471583+00;;;;Criar programa de mentoria interna para desenvolvimento de talentos;90;84471d23-0b77-4b27-89bf-edbbea0fc1f6;;media;0;;Criar programa de mentoria interna para desenvolvimento de talentos;;planejada;Programa de Mentoria;2026-01-31 02:26:31.471583+00
[];Cultura;;9f4a0435-873d-4310-9c12-5c48eadbc7e3;2026-01-31 02:26:34.080911+00;;;;Implementar cultura de feedback regular e construtivo;45;586e265f-b707-4cec-93df-8d2faf31bf45;;media;0;;Implementar cultura de feedback regular e construtivo;;planejada;Política de Feedback Contínuo;2026-01-31 02:26:34.080911+00
[];Bem-estar;;9f4a0435-873d-4310-9c12-5c48eadbc7e3;2026-01-31 02:26:34.568833+00;;;;Ações focadas em saúde física e mental dos colaboradores;60;2a21e82e-85ea-41c0-b013-55f72b8971a0;;media;0;;Ações focadas em saúde física e mental dos colaboradores;;planejada;Programa de Bem-estar;2026-01-31 02:26:34.568833+00
